Unit Tag,Unit Type,Location,CxAlloy Status,CxAlloy URL
"TOR1A-CRAH-157-01","CRAH","UPS Electrical Room","Not Installed","https://tq.cxalloy.com/project/40206/equipment/9089940"
"TOR1A-CRAH-158-01","CRAH","UPS Electrical Room","Not Installed","https://tq.cxalloy.com/project/40206/equipment/9089941"
"TOR1A-CRAH-159-01","CRAH","UPS Electrical Room","Not Installed","https://tq.cxalloy.com/project/40206/equipment/9089942"
"TOR1A-CRAH-160-01","CRAH","UPS Electrical Room","Not Installed","https://tq.cxalloy.com/project/40206/equipment/9089943"
"TOR1A-CRAH-161-01","CRAH","UPS Electrical Room","Not Installed","https://tq.cxalloy.com/project/40206/equipment/9089944"
"TOR1A-CRAH-162-01","CRAH","UPS Electrical Room","Not Installed","https://tq.cxalloy.com/project/40206/equipment/9089945"
"TOR1A-CRAH-163-01","CRAH","UPS Electrical Room","Not Installed","https://tq.cxalloy.com/project/40206/equipment/9089946"
"TOR1A-CRAH-258-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089947"
"TOR1A-CRAH-259-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089948"
"TOR1A-CRAH-260-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089949"
"TOR1A-CRAH-261-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089950"
"TOR1A-CRAH-262-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089951"
"TOR1A-CRAH-263-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089952"
"TOR1A-CRAH-264-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089953"
"TOR1A-CRAH-266-01","CRAH","IDF 266","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089954"
"TOR1A-CRAH-266-02","CRAH","IDF 266","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089955"
"TOR1A-CRAH-359-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089956"
"TOR1A-CRAH-360-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089957"
"TOR1A-CRAH-361-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089958"
"TOR1A-CRAH-362-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089959"
"TOR1A-CRAH-363-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089960"
"TOR1A-CRAH-364-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089961"
"TOR1A-CRAH-365-01","CRAH","UPS Electrical Room","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089962"
"TOR1A-CRAH-367-01","CRAH","IDF 367","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089963"
"TOR1A-CRAH-367-02","CRAH","IDF 367","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089964"
"TOR1A-CRAH-DH1-01","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089965"
"TOR1A-CRAH-DH1-02","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089966"
"TOR1A-CRAH-DH1-03","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089967"
"TOR1A-CRAH-DH1-04","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089968"
"TOR1A-CRAH-DH1-05","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089969"
"TOR1A-CRAH-DH1-06","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089970"
"TOR1A-CRAH-DH1-07","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089971"
"TOR1A-CRAH-DH1-08","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089972"
"TOR1A-CRAH-DH1-09","CRAH","DH1","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089973"
